latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.32391,-92.19378,303.97,0.39,0.36,2026-08-01,822,N20,VIIRS,n,2.0NRT,289.88,1.63,N
49.10305,-96.76993,297.42,0.43,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,284.79,0.61,N
49.29027,-93.17564,297.83,0.38,0.36,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.96,0.31,N
49.36388,-96.45433,321.19,0.42,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.01,1.93,N
49.36704,-96.50745,301.8,0.42,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,284.78,1.1,N
49.3673,-96.45329,313.56,0.42,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,284.76,1.93,N
49.36974,-96.50063,316.43,0.42,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,282.84,1.35,N
49.37048,-96.50643,308.49,0.42,0.38,2026-08-01,822,N20,VIIRS,n,2.0NRT,282.37,1.35,N
49.53383,-89.93732,303.11,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,291.27,1.78,N
49.60443,-90.08557,306.04,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.88,0.68,N
49.60545,-90.09108,297.11,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.29,0.68,N
49.61044,-89.78911,303.16,0.42,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.05,2.01,N
49.61148,-89.79469,317.78,0.42,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,290.92,1.76,N
49.61435,-89.79184,305.96,0.42,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.44,1.14,N
49.61481,-89.79323,304.7,0.42,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.65,1.76,N
49.62274,-89.83641,299.09,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.77,1.28,N
49.6231,-89.83784,304.03,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.39,1.36,N
49.62379,-89.84197,297.35,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,284.62,0.92,N
49.62711,-89.84051,304.64,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,288.38,0.92,N
49.62816,-89.84607,300.92,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,287.67,0.92,N
49.66153,-90.00527,296.97,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,286.51,0.71,N
49.67464,-89.92171,299.43,0.41,0.37,2026-08-01,822,N20,VIIRS,n,2.0NRT,285.08,1.38,N
